long,lat,id,nombre,tipo,colectividad,telefono,fax,web,email,observaciones,calle_nombre,calle_altura,calle_cruce,piso,dpto,oficina,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.3765703549819,-34.6003093301606,627,"Hogar ""Rodolfo Funke""",Institución Cultural - Social,Alemana,4322-8613,,http://www.fundacionfunke.org.ar/,correo@fundacionfunke.org.ar,,Maipú,671,,4,,42,San Nicolas,Comuna 1,1006,C1006ACG
-58.3704222460709,-34.6103674361947,583,Centro de Ingenieros Alemanes en la Argentina VDI A,Institución Profesional,Alemana,4343-8234 / 4342-4766,,www.vdi-arg.com.ar,socios@vdi-arg.com.ar,,Balcarce,226,,3,,8,Monserrat,Comuna 1,1064,C1064AAF
-58.3704628817181,-34.6122007795696,582,Federación de Asociaciones Argentino Germanas FAAG,Institución Cultural - Social,Alemana,4343-9817,,www.faag.org.ar,faag@fibertel.com.ar; info@faag.org.ar,,Av. Belgrano,295,,6,17,,Monserrat,Comuna 1,1092,C1092AAC
-58.4018995088875,-34.5925935857334,765,Sociedad Alemana de Socorros a Enfermos DKV,Institución Cultural - Social,Alemana,4827-2520,,www.dkv.com.ar,gerencia@dkv.com.ar,,Beruti,2524,,,,,Recoleta,Comuna 2,1425,C1425BBB
-58.3968304854863,-34.5970855936113,766,Institución Cultural Argentino Germana,Institución Educativa,Alemana,4824-4038 / 4824-8383,,,culturalag@yahoo.com,,Marcelo T. de Alvear,2051,,,,,Recoleta,Comuna 2,1122,C1122AAE
-58.401513663704,-34.5920844737364,767,Hospital Alemán,Institución de Salud,Alemana,4827-7000,,www.hospitalaleman.org.ar,comunicaciones@hospitalaleman.com,,Av. Pueyrredon,1640,,,,,Recoleta,Comuna 2,1118,C1118AAT
-58.4485135438272,-34.6148704708473,69,Asociación Argentina de Descendientes de Alemanes del Volga  AADAv,Institución Cultural - Social,Alemana,4431-9715,,www.alemanesdelvolga.com,aadAv@hotmail.com,,Pujol,662,,,2,,Caballito,Comuna 6,1405,C1405ALD
-58.4647522389237,-34.5892617910989,1,Congregación Evangélica Alemana de Buenos Aires,Institución Religiosa,Alemana,4551-6642 / 4559-5377,,www.ceaba.org.ar,administracion@ceaba.org.ar,,Elcano,4530,,1,,,Chacarita,Comuna 15,1427,C1427CIQ
-58.4061907639997,-34.6192571182271,243,Unión Alemana Munro,Institución Cultural - Social,Alemana,4764-3841 / 4767-0125,,www.deutscheverein.com.ar,deutschevm@gmail.com,,Deán Funes,780,,,,,Balvanera,Comuna 3,1231,C1231ABF
-58.4013157623056,-34.6123600786868,244,Club Berlín,Institución Cultural - Social,Alemana,4308-4782,,www.cluberlin.com.ar,info@cluberlin.com.ar,,Alberti,216,,,,,Balvanera,Comuna 3,1082,C1082AAF
-58.3924177448918,-34.6090218611657,245,Fundación Friedrich Naumann,Institución Política,Alemana,4953-1546 / 4953-2974,,www.la.fnst-freiheit.org,argentina@fnst.org,,Av. Rivadavia,1829,,9,,,Balvanera,Comuna 3,1033,C1033AAI
-58.464436179689,-34.5888638816875,2,Cementerio Alemán,Institución Cultural - Social,Alemana,4551-3241,,,cementerio.aleman@ceaba.org.ar,,Elcano,4530,,,,,Chacarita,Comuna 15,1427,C1427CIQ
-58.3797515244917,-34.5943987960565,846,Fundación Konrad Adenauer,Institución Política,Alemana,4326 2552,4326-9944,www.kas.org.ar,info.buenosaires@kas.de,,Suipacha,1175,,3,,,Retiro,Comuna 1,1008,C1008AAW
-58.4935034403895,-34.6008390631355,38,Sociedad Educacionista Alemana de Villa Devoto y Villa del Parque. Schiller Schule,Institución Educativa,Alemana,4501-5929 / 4501-0293,,www.schiller.com.ar; www.institutoschiller.edu.ar,administracion@institutoschiller.com.ar,,Helguera,3071,,,,,Villa Del Parque,Comuna 11,1417,C1417CRA
-58.379642555354,-34.5963049450896,845,Fundación Friedrich Ebert,Institución Política,Alemana,4312-1732,,www.fes.org.ar,en-contacto@fes.org.ar,,Marcelo T. de Alvear,883,,4,,,Retiro,Comuna 1,1058,C1058AAK
-58.440011438855,-34.5674105158242,382,Consulado de Alemania,Consulado,Alemana,4778-2582 / 4778-2500/2550,4778-2500,www.buenos-aires.diplo.de,,,Villanueva,1055,,,,,Palermo,Comuna 14,1426,C1426BMC
-58.4401650714239,-34.5672952797472,381,Embajada de Alemania,Embajada,Alemana,4778-2528 / 4778-2500/2550,4778-2500,http://www.buenos-aires.diplo.de/,info@buenos-aires.diplo.de,,Villanueva,1055,,,,,Palermo,Comuna 14,1426,C1426BMC
-58.4593617688521,-34.5662490604552,698,Parroquia Belgrano,Institución Religiosa,Alemana,4781-7108,,,bruno.knoblauch@ceaba.org.ar,,Sucre,2855,,,,,Belgrano,Comuna 13,1428,C1428DVY
-58.4627764596226,-34.5687785937508,697,Asociación Cultural Pestalozzi,Institución Educativa,Alemana,4555-3688,4554 1157,www.pestalozzi.edu.ar,direccion.general@pestalozzi.com.ar; info@pestalozzi.edu.ar,,Cap. Ramón Freire,1882,,,,,Belgrano,Comuna 13,1428,C1428CYB
-58.4509142929662,-34.5683153864666,236,Embajada de Angola,Embajada,Angolana,4789-9714 / 15-3424-2222 / 4554-8383/8877,,,embaixada.argentina@mirexgov.ao,,Virrey Loreto,2477,,,,,Colegiales,Comuna 13,1426,C1426DXS
-58.4508756525728,-34.5682596886922,237,Consulado de Angola,Consulado,Angolana,4554-8383/8877,,,embaixada.argentina@mirexgov.ao,,Virrey Loreto,2477/79/81,,,,,Colegiales,Comuna 13,,
-58.4020985918031,-34.5792228136952,384,Consulado de Arabia Saudita,Consulado,Árabe,4802-3375/4303/0760,,www.embajadasaudi.org,embasaudita@fibertel.com.ar,,Alejandro de Aguado,2881,,,,,Palermo,Comuna 14,1425,C1425CEA
-58.3941902196967,-34.5917905117278,770,Club Sirio Libnés,Institución Cultural - Social,Árabe,4806 3002,,http://www.clubsiriolibanes.org.ar/,info@clubsiriolibanes.org.ar,,Ayacucho,1496,,,,,Recoleta,Comuna 2,1111,C1111AAN
-58.402075627179,-34.5792824384951,383,Embajada Reino de Arabia Saudita,Embajada,Árabe,4802-3375/4303/0760,,www.embajadasaudi.org,embasaudita@fibertel.com.ar,,Alejandro de Aguado,2881,,,,,Palermo,Comuna 14,1425,C1425CEA
-58.4610891869408,-34.5690655536906,699,Liga Arabe,Institución Cultural - Social,Árabe,4554-0456,4551-4543,,ligaarabe@argentina.com; elfarodelsur@live.com.ar,,La Pampa,3124,,,,,Belgrano,Comuna 13,1428,C1428ECD
-58.3893783390513,-34.6027667259844,634,Camara de Comercio Argentino Arabe,Institución Profesional,Árabe,4372-8167,,http://www.ccaa.com.ar/,,,Montevideo,513,,,,,San Nicolas,Comuna 1,1019,C1019ABK
-58.3941628453362,-34.5917735092101,771,Federación de Entidades Argentino Árabes Ciudad de Buenos Aires y Conurbano - FEARAB,Institución Cultural - Social,Árabe,4326-7431 / 4931-3577,,http://fearab.org/br/,fearabuenosaires@gmail.com,,Ayacucho,1496,,,,,Recoleta,Comuna 2,1111,C1111AAN
-58.4956634384485,-34.5593287929757,215,Club Sirio Libanés,Institución Cultural - Social,Árabe,4544 6967,,http://www.clubsiriolibanes.org.ar/,info@clubsiriolibanes.org.ar,,Av. Triunvirato,6401,,,,,Saavedra,Comuna 12,1431,C1431FDE
-58.3933489081427,-34.5978593620323,768,Embajada Arabe Siria,Embajada,Árabe,4813-2113 / 4813-5438,4814-3211,,embajadasiria@speedy.com.ar,,Av. Callao,956,,,,,Recoleta,Comuna 2,1023,C1023AAP
-58.3933417313911,-34.5978901718165,769,Consulado de Arabia Saudita,Consulado,Árabe,4813-2113 / 4813-5438,4814-3211,www.embassy-finder.com/es/syria_in_buenos-aires_argentina,embajadasiria@speedy.com.ar,,Av. Callao,956,,,,,Recoleta,Comuna 2,1023,C1023AAP
-58.3848878420107,-34.5889942181497,847,Embajada de Argelia,Embajada,Argelina,4815-1271 / 4815-8837,,,embajadaargelia@fibertel.com.ar; argelia@interserver.com.ar,,Montevideo,1889,,,,,Retiro,Comuna 1,1021,C1021AAE
-58.3849241866759,-34.5890469475817,848,Consulado de Argelia,Consulado,Argelina,4815-1271 /4815-8837,,,embajadaargelia@fibertel.com.ar ; argelia@interserver.com.ar,,Montevideo,1889,,,,,Retiro,Comuna 1,1021,C1021AAE
-58.4601390181642,-34.6469024475387,104,"Iglesia Armenia ""Santa Cruz de Varak""",Institución Religiosa,Armenia,4612-1733,,,,,José Martí,1562,,,,,Flores,Comuna 7,1406,C1406FCF
-58.4305483660348,-34.5918418833817,385,Institución Administrativa de la Iglesia Armenia,Institución Cultural - Social,Armenia,4772-3558,,www.centroarmenio.com.ar,centroarmenio@centroarmenio.com.ar,,Armenia,1353,,,,,Palermo,Comuna 14,1414,C1414DKC
-58.4321167733451,-34.5923902730001,386,Unión Compatriótica Armenia de Marash,Institución Cultural - Social,Armenia,4773-2120,,,,,Armenia,1242,,,,,Palermo,Comuna 14,1414,C1414DKB
-58.4307797620565,-34.5915178640266,387,Unión Juventud Armenia,Institución Cultural - Social,Armenia,4775-7595,,,,,Armenia,1366,,,,,Palermo,Comuna 14,1414,C1414DKD
-58.4188530291394,-34.5871907368596,388,Unión Residentes Armenios de Hadjin,Institución Cultural - Social,Armenia,4813-9931,,,,,Av. Scalabrini Ortiz,2273,,,,,Palermo,Comuna 14,1425,C1425DBD
-58.4323676628258,-34.5917954419055,389,Unión Compatriótica Armenia de Aintab,Institución Cultural - Social,Armenia,4773-1933,,,,,Cnel. Niceto Vega,4876,,,,,Palermo,Comuna 14,1414,C1414BEF
-58.3810131627426,-34.5951390942964,849,Cámara de Comercio Argentino Armenia,Institución Profesional,Armenia,4393-0151 / 4393-0354,,www.camararmenia.org.ar,info@camararmenia.org.ar,,Av. Santa Fe,969,,2,,,Retiro,Comuna 1,1059,C1059ABD
-58.4347997772933,-34.6577754180419,553,"Escuela ""Isaac Bakchellian""",Institución Educativa,Armenia,4918-7245,,www.institutobakchellian.esc.edu.ar,info@institutobakchellian.esc.edu.ar,,Corrales,2527,,,,,Villa Soldati,Comuna 8,1437,C1437GMG
-58.5149722361143,-34.6473879424232,565,"Parroquia ""Surp Boghos""",Institución Religiosa,Armenia,4952-7777,,,,,Patrón,6373,,,,,Liniers,Comuna 9,1408,C1408FAU
-58.3942989259987,-34.5917169497447,772,Embajada de la República de Armenia,Embajada,Armenia,4816-8710,4812-2803,www.armeniaforeignministry.com,armargentineembassy@mfa.am,,José Andrés Pacheco de Melo,1922,,,,,Recoleta,Comuna 2,1126,C1126AAD
-58.4303309376964,-34.5931804669411,395,"Unión Cultural ""Sharyum""",Institución Cultural - Social,Armenia,,,,,,Malabia,1287,,,,,Palermo,Comuna 14,1414,C1414DLY
-58.4476695625679,-34.6233434948444,70,Asociación Misionera Armenia,Institución Cultural - Social,Armenia,,,,,,Av. Rivadavia,5848,,,,,Caballito,Comuna 6,1406,C1406GLO
-58.4313075758189,-34.5918570435619,396,Liga de Jóvenes de la U.G.A.B.,Institución Cultural - Social,Armenia,4771-6500 / 4773-2820,,www.ugab.org.ar,,,Armenia,1322,,,,,Palermo,Comuna 14,1414,C1414DKD
-58.4306189324149,-34.5918791930269,397,Organización de Damas de la Iglesia Armenia,Institución Cultural - Social,Armenia,4772-3558,,,,,Armenia,1353,,,,,Palermo,Comuna 14,1414,C1414DKC
-58.4309054113643,-34.5915863392433,398,Fundación Consejo Nacional Armenio,Institución Cultural - Social,Armenia,4775-7595,,www.cna.org.ar,cna@cna.org.ar,,Armenia,1366,,,,,Palermo,Comuna 14,1414,C1414DKD
-58.4148950782382,-34.589543643692,399,"Parroquia Católica Armenia ""Nuestra Señora de Narek""",Institución Religiosa,Armenia,4824-1613 / 4824-4518,,,,,Charcas,3529,,,,,Palermo,Comuna 14,1425,C1425BMU
-58.4307768869992,-34.5919733962608,400,"Iglesia Apostólica Armenia ""San Gregorio El Iluminador""",Institución Religiosa,Armenia,4772-3558,,,,,Armenia,1353,,,,,Palermo,Comuna 14,1414,C1414DKC
-58.43348524821,-34.5691752681981,401,Escuela Armenio Argentina N°8 D.E. 9,Institución Educativa,Armenia,4771-2047,,,,,Arce,611,,,,,Palermo,Comuna 14,1426,C1426BSI
-58.4307042912767,-34.5919333455162,402,"Instituto Educativo ""San Gregorio El Iluminador""",Institución Educativa,Armenia,4772-3558,,www.centroarmenio.com.ar,centroarmenio@centroarmenio.com.ar,,Armenia,1353,,,,,Palermo,Comuna 14,1414,C1414DKC
-58.4278157379605,-34.5981449630705,15,Garbis Villa Crespo,Gastronomía,Armenia,4866-4000,,www.garbis.com.ar,garbis@garbis.com.ar,,Av. Estado de Israel,4393,,,,,Villa Crespo,Comuna 15,1185,C1185AAC
-58.4312110588758,-34.5917934156452,403,"Instituto ""Marie Manoogian""",Institución Educativa,Armenia,4771-6500 / 4773-2820,,www.ugab.org.ar,,,Armenia,1322,,,,,Palermo,Comuna 14,1414,C1414DKD
-58.4307843444264,-34.5915584236939,404,Restaurant Armenia,Gastronomía,Armenia,4776-2500,,armeniarestaurant.com.ar,restaurantarmenia@sion.com,,Armenia,1366,,,,,Palermo,Comuna 14,1414,C1414DKD
-58.4367219081939,-34.5809268623813,405,El Manto,Gastronomía,Armenia,4774-2409,,www.elmanto.com,,,Costa Rica,5801,,,,,Palermo,Comuna 14,1414,C1414BTI
-58.4311385335693,-34.5917512417821,406,Ugab Restaurant. Cena de los viernes y sábados,Gastronomía,Armenia,4773-2820,,www.ugab.org.ar/cena-de-los-viernes-y-sabados,,,Armenia,1322,,,,,Palermo,Comuna 14,1414,C1414DKD
-58.4361303986097,-34.5914424533146,14,Sarkis,Gastronomía,Armenia,4772-4911,,,,,Thames,1101,,,,,Villa Crespo,Comuna 15,1414,C1414DCW
-58.430648712842,-34.5914229136237,407,Viejo Agump,Gastronomía,Armenia,4773-5081,,,,,Armenia,1382,,,,,Palermo,Comuna 14,1414,C1414DKD
-58.4316839444442,-34.5921699063673,408,"Centro Cultural ""Tadrón""",Gastronomía,Armenia,4777-7976,,www.tadronteatro.com.ar,tadronteatro@gmail.com,,Cnel. Niceto Vega,4806,,,,,Palermo,Comuna 14,1414,C1414BEF
-58.374655356942,-34.6075951634257,635,"Fundación ""Boghos Arzoumanian""",Institución Cultural - Social,Armenia,4343-8101,,,,,Roque Saenz Peña,570,,EP,,,San Nicolas,Comuna 1,1035,C1035AAN
-58.4542702044077,-34.5546770006451,701,Garbis Bajo Belgrano,Gastronomía,Armenia,4789-9300,,www.garbis.com.ar,garbis@garbis.com.ar,,11 de septiembre,2517,,,,,Belgrano,Comuna 13,1428,C1428AJE
-58.4648630753481,-34.5724832795239,700,Colegio Mekhitarista,Institución Educativa,Armenia,4552-3690 / 4552-9658,,www.colegiomekhitarista.edu.ar,makhitarista@colegiomakhitarista.edu.ar,,Virrey del Pino,3511,,,,,Belgrano,Comuna 13,1426,C1426EHM
-58.4665748502465,-34.6250002062778,105,Iglesia Evangélica Congregacional Armenia,Institución Religiosa,Armenia,4611-6490,4613-9793,www.ieca.com.ar,pastor@ieca.com.ar,,Av. Avellaneda,2538,,,,,Flores,Comuna 7,1406,C1406FYX
-58.4528913973741,-34.6349980151471,106,Iglesia Evangélica Armenia,Institución Religiosa,Armenia,4613-8008 / 4631-7747,,www.iearmenia.org.ar,info@iearmenia.org.ar,,Av. Carabobo,743,,,,,Flores,Comuna 7,1406,C1406DGH
-58.4598166074841,-34.6471463414082,107,Colegio Arzruni,Institución Educativa,Armenia,4612-1733,,,,,José Martí,1596,,,,,Flores,Comuna 7,1406,C1406FCF
-58.4337016443236,-34.5907858691036,409,"Casa de Descanso ""O.Bodourian- O. Diarbekirian""",Institución Cultural - Social,Armenia,4774-9785 / 4775-8362,,,,,Serrano,1290,,,,,Palermo,Comuna 14,1414,C1414DEZ
-58.4308379733191,-34.5915926589153,410,Diario Armenia,Institución Profesional,Armenia,4775-7595 / 4775-7494,,www.diarioarmenia.org.ar,redaccion@diarioarmenia.org.ar,,Armenia,1366,,,,,Palermo,Comuna 14,1414,C1414DKD
-58.4308244092761,-34.5915386816644,390,Asociación Damas de Beneficencia,Institución Cultural - Social,Armenia,4775-7595,,,,,Armenia,1366,,,,,Palermo,Comuna 14,1414,C1414DKD
-58.4313815752969,-34.5919361384165,391,Unión General Armenia de Beneficencia,Institución Cultural - Social,Armenia,4771-6500 / 4773-2820,,www.ugab.org.ar,secretaria@ugab.org.ar,,Armenia,1322,,,,,Palermo,Comuna 14,1414,C1414DKD
-58.4308625069706,-34.5915622464669,392,Asociación Cultural Armenia,Institución Cultural - Social,Armenia,4773-4452,,,asociacionculturalarmenia@diarioarmenia.org.ar,,Armenia,1366,,,,,Palermo,Comuna 14,1414,C1414DKD
-58.4309480210151,-34.592081168268,393,"Asociación Cultural ""Tekeyan""",Institución Cultural - Social,Armenia,4773-0314,,,,,Armenia,1329,,,,,Palermo,Comuna 14,1414,C1414DKC
-58.4308521884024,-34.5920170689597,411,Periódico Sardarabad,Institución Profesional,Armenia,4771-2520,,,,,Armenia,1329,,,,,Palermo,Comuna 14,1414,C1414DKC
-58.4311599006042,-34.5926118857047,394,Unión Cultural Armenia,Institución Cultural - Social,Armenia,4777-7976,,,,,Cnel. Niceto Vega,4764,,,,,Palermo,Comuna 14,1414,C1414BED
-58.4437643802927,-34.5644146381566,413,Consulado de Australia,Consulado,Australiana,4779-3500,,www.argentina.embassy.gov.au,info.ba.consular@dfat.gov.au.,,Villanueva,1400,,,,,Palermo,Comuna 14,1426,C1426BMJ
-58.4436641695385,-34.5645043157886,412,Embajada de Australia,Embajada,Australiana,4779 3500,4779 3581,http://argentina.embassy.gov.au/       https://www.facebook.com/pg/AustraliaEnArgentinaUruguayYParaguay/about/?ref=page_internal,info.ba.general@dfat.gov.au,,Villanueva,1400,,,,,Palermo,Comuna 14,1426,C1426BMJ
-58.3669761145437,-34.6031650320843,576,Cámara de Comercio e Industria Argentina Australiana,Institución Profesional,Australiana,4590-8787,,http://www.auscham.com.ar/,info@auscham.com.ar,,Alicia Moreau de Justo,400,,3,,,Puerto Madero,Comuna 1,1107,C1107AAH
-58.4117431106133,-34.582721505706,414,Embajada de Austria,Embajada,Austriaca,4809 5800 / 4805 4016,,https://www.bmeia.gv.at/es/oeb-buenos-aires/,buenos-aires-ob@bmeia.gv.at,,French,3671,,,,,Palermo,Comuna 14,1425,C1425AXC
-58.459226807284,-34.5570284695965,702,Asociación Austríaca de Beneficencia,Institución Cultural - Social,Austriaca,4783-6018,,http://austriabenef.org.ar/,,,Vuelta de Obligado,2561,,,,,Belgrano,Comuna 13,1428,C1428ADO
-58.3735994633349,-34.6038972526216,636,Asociación Argentina Austríaca,Institución Cultural - Social,Austriaca,4816-1546,,http://argentino-austriaca.weebly.com/  www.facebook.com/argentinoaustriaca,info@argentino-austriaca.org,,San Martin,345,,3,,7,San Nicolas,Comuna 1,1004,C1004AAG
-58.3735861088313,-34.603968779671,637,Cámara de Comercio Argentino Austríaca,Institución Profesional,Austriaca,4394-2168,,www.ccargaust.com.ar,ccargaust@ccargaust.com.ar,,San Martín,345,,3,,7,San Nicolas,Comuna 1,1004,C1004AAG
-58.4399698740658,-34.5698606050433,415,Embajada de Azerbaiyan,Embajada,Azerbaiyana,4777-3655,4777-6722,www.azembassy.com.ar,buenosaires@azembassy.org.ar,,Maure,2151,,,,,Palermo,Comuna 14,1426,C1426CUM
-58.4398560104031,-34.5697919271403,416,Consulado de Azerbaiyan,Consulado,Azerbaiyana,4777-4655/8928,,,buenosaires@azembassy.org.ar,,Maure,2151,,,,,Palermo,Comuna 14,1426,C1426CUM
-58.3818019908233,-34.5920857934885,850,Consulado de Bahamas,Consulado,Bahameña,1163140000 / 1560546676,,,pyfrom@argenmar.com,,Carlos Pelegrini,1362,,2,,,Retiro,Comuna 1,1011,C1011AAB
-58.4072924906906,-34.5803281595163,417,Consulado de Bangladesh,Consulado,Bangladeshí,4804-5279 / 4815-2321 / 4806-0851,,,consuladodebangladesh@yahoo.com.ar,,Ruggieri,2944,,Torre Dulcale piso 1,,,Palermo,Comuna 14,1425,C1425DLF
-58.4439346027106,-34.553613990914,704,Consulado de Bielorusia,Consulado,Belarusa,4778-9394,,www.argentina.mfa.gov.by,argentina@mfa.gov.by,,Cazadores,2166,,,,,Belgrano,Comuna 13,1428,C1428AVH
-58.4439881043445,-34.5535543461985,703,Embajada de Belarus,Embajada,Belarusa,4778-9394,,www.argentina.mfa.gov.by,argentina@mfa.gov.by,,Cazadores,2166,,,,,Belgrano,Comuna 13,1428,C1428AVH
-58.3723364064898,-34.6091324700711,584,Embajada de Bélgica,Embajada,Belga,4331-0069/0066/0067,,http://argentina.diplomatie.belgium.be/es,buenosaires@diplobel.fed.be,,Defensa,113,,8,,,Monserrat,Comuna 1,1065,C1065AAA
-58.4206189513285,-34.6033897541808,41,"Vertegenwoordiger VIW, Vlamingen in de Wereld",Institución Cultural - Social,Belga,1533758243,,www.viw.be,reincastle@hotmail.com,,Corrientes,3978,,,,,Almagro,Comuna 5,1194,C1194AAS
-58.3807601751108,-34.5951168353591,851,Cámara de Comercio Belga Luxemburguesa en la República Argentina,Institución Profesional,Belga,1557488800,,www.ccbl.com.ar,info@ccbl.com.ar; ccblar@gmail.com,,Av. Santa Fe,951,,2,,,Retiro,Comuna 1,1059,C1059ABD
-58.3744904861808,-34.6030902400197,638,Embajada de Bolivia en Buenos Aires,Embajada,Boliviana,4394 1463,4394-0460,www.embajadadebolivia.com.ar,embolivia-baires@ree.gov.bo,,Av. Corrientes,545,,2,,6,San Nicolas,Comuna 1,1043,C1043AAF
-58.3954681212125,-34.6218377034602,150,Sajama,Gastronomía,Boliviana,,,,,,Humberto 1°,2100,,,,,San Cristobal,Comuna 3,1229,C1229AAF
-58.5288023927293,-34.6411107745553,567,Asociación de Profesionales Bolivianos en Argentina- APBA,Institución Cultural - Social,Boliviana,4641-8693 / 4581-0339,,,comunidadboliviana.com.ar@gmail.com,,Av. Gral. Paz,10746,,local 15,,,Liniers,Comuna 9,1408,C1408FGT
-58.5270833737251,-34.641850751858,568,Miriam,Gastronomía,Boliviana,4641-3064,,,,,Ibarrola,7184,,,,,Liniers,Comuna 9,1408,C1408DXR
-58.5285261077305,-34.6419009822837,569,Pollo Copacabana,Gastronomía,Boliviana,,,,,,Ibarrola,7274,,,,,Liniers,Comuna 9,1408,C1408DXT
-58.4770118956189,-34.6243568407265,128,El Conejo,Gastronomía,Boliviana,,,,,,Cuenca,700,,,,,Floresta,Comuna 10,1406,C1406ARL
-58.4680236885055,-34.6337985209702,108,El Renacer,Gastronomía,Boliviana,6423-2616,,www.facebook.com/pg/restauranteelrenacer,,,San Pedrito,250,,,,,Flores,Comuna 7,1406,C1406EXP
-58.4573325113581,-34.5640679445985,705,La Paceña,Gastronomía,Boliviana,4788-2282,,http://www.lapacena.com/,,,Echeverría,2570,,,,,Belgrano,Comuna 13,1428,C1428DRT
-58.4676860202488,-34.6329896443317,928,Federacion de Asociaciones Folkloricas y Culturales Bolivianas,Institución Cultural - Social,Boliviana,,,https://www.facebook.com/federacionafcb/,,,Avenida Juan Bautista Alberdi,2837,,,,,Flores,Comuna 7,1406,C1406GSE
-58.4063764506124,-34.6086915823615,246,Consulado de Boliavia,Consulado,Boliviana,5263-3790,,www.consuladoboliviano.com.ar,consuladodebolivia@ciudad.com.ar,,Bartolomé Mitre,2815,,1,,106,Balvanera,Comuna 3,1201,C1201AAA
-58.5234937988156,-34.6390692519835,566,Federación de Asociaciones Civiles Bolivianas en Argentina- FACBOL,Institución Cultural - Social,Boliviana,4633-5580,,,facbol@yahoo.com.ar; culturafacbol@hotmail.com; febofacbol@gmail.com;colec_6deagosto@hotmail.com; gruporaices@hotmail.com,,Cosquín,10,,8,C,,Liniers,Comuna 9,1408,C1408GIB
-58.4665639785868,-34.6370993996526,109,La Flor de Chuquisaca,Gastronomía,Boliviana,4613-0149,,,,,San Pedrito,546,,,,,Flores,Comuna 7,1406,C1406EXS
-58.4590939565422,-34.6061623319052,71,Me Leva Que Eu Vou,Institución Cultural - Social,Brasilera,4582-5517,,http://www.melevaqueeuvou.com.ar/,melevaqueeuvou@hotmail.com,,Fragata Pte. Sarmiento,1670,,,D,,Caballito,Comuna 6,1416,C1416CBL
-58.3911741056435,-34.6057435720968,639,Maluco Beleza,Gastronomía,Brasilera,4373-0959 / 4372-1737,,www.facebook.com/MalucoBelezaDisco/,,,Sarmiento,1728,,,,,San Nicolas,Comuna 1,1042,C1042ABH
