WKT,objetid,comuna,calle,nombre_de,responsabl,direccion,direcci_1,x,y,altura,barrios,sumi_elect,poblacion,grup_elect,suministr,mail_1,telefono_1
"POINT (-58.454498874187 -34.6364659521261)",15.00000000000,COMUNA 07,CAMACUA 827,SENIOR,Mariana Grinberg,CAMACUA 827,827 CAMACUA,"-58,454498874187","-34,6364659521261",0.00000000000,,,,,,mgc100@yahoo.com.ar,4864-5761 / 4864-9761
"POINT (-58.3761613372221 -34.6276649176769)",16.00000000000,COMUNA 04,CASEROS AV. 860,CARPE DIEM,--,CASEROS AV. 860,860 CASEROS AV.,"-58,3761613372221","-34,6276649176769",0.00000000000,,,,,,info@horai.com.ar administracion@horai.com.ar lpalacios@consejo.org.ar,2059-7777 / 15-55112214 / 49023142
"POINT (-58.4206726739844 -34.6129996922341)",17.00000000000,COMUNA 05,CASTRO BARROS AV. 90,CASTRO BARROS SENIOR APART,HERNAN OMAR LARZABAL,CASTRO BARROS AV. 90,90 CASTRO BARROS AV.,"-58,4206726739844","-34,6129996922341",0.00000000000,,,,,,,
"POINT (-58.4228282630211 -34.583908152088)",18.00000000000,COMUNA 14,CHARCAS 4278,INSTITUTO GERIÁTRICO SERRANO,"ADOLFO OSCAR, HEILBRON",CHARCAS 4278,4278 CHARCAS,"-58,4228282630211","-34,583908152088",0.00000000000,,,,,,pringles377@hotmail.com,4981-4574 / 4982-9855
"POINT (-58.468672313485 -34.6259691731201)",19.00000000000,COMUNA 07,CONDARCO 458,BEIT SION DOVER (SEFARADI),"RICARDO ALBERTO, BARMAT",CONDARCO 458,458 CONDARCO,"-58,468672313485","-34,6259691731201",0.00000000000,,,,,,layala@theseniorhome.com.ar,4867-8500
"POINT (-58.3875543486527 -34.5993243223734)",20.00000000000,COMUNA 01,CORDOBA AV. 1454,SIETE LUNAS RESDIDENCIA,,CORDOBA AV. 1454,1454 CORDOBA AV.,"-58,3875543486527","-34,5993243223734",0.00000000000,,,,,,josegeri2010@hotmail.com,4865-9214 / 15-3362-9189
"POINT (-58.471429565496 -34.5434809366516)",21.00000000000,COMUNA 13,CORREA 2346,COMPLEJO DEL ESTE,Daniel Armando Álvarez,CORREA 2346,2346 CORREA,"-58,471429565496","-34,5434809366516",0.00000000000,,,,,,normairenega@hotmail.com,4981-6272 4983-7768 1149032943
"POINT (-58.5040031006311 -34.6431972849907)",22.00000000000,COMUNA 10,CORVALAN 475,BENDITA VICTORIA,DR. GONZALO MARTINEZ CORVALAN,CORVALAN 475,475 CORVALAN,"-58,5040031006311","-34,6431972849907",0.00000000000,,,,,,residenciadulcesmomentos@gmail.com,4582-5568
"POINT (-58.4626902254029 -34.6381913935302)",23.00000000000,COMUNA 07,CULPINA 758,LOS MILAGROS,VIVIANA DANIELA FAINSILBER,CULPINA 758,758 CULPINA,"-58,4626902254029","-34,6381913935302",0.00000000000,,,,,,juanradri@hotmail.com,4612-7022
"POINT (-58.4040496274763 -34.5797377440257)",24.00000000000,COMUNA 14,"DIAZ, CNEL. AV. 2856",RESIDENCIA PALERMO CHICO,--,"DIAZ, CNEL. AV. 2856","2856 DIAZ, CNEL. AV.","-58,4040496274763","-34,5797377440257",0.00000000000,,,,,,aomcon@yahoo.com.ar geriatricoartigas@hotmail.com,4611-8775 / 39715367
"POINT (-58.5075043518993 -34.638041998648)",25.00000000000,COMUNA 10,ECHENAGUCIA 61,EL TATA,--,ECHENAGUCIA 61,61 ECHENAGUCIA,"-58,5075043518993","-34,638041998648",0.00000000000,,,,,,nuevosenior@hotmail.com,4632-1189 / 4634-1863
"POINT (-58.3760014587006 -34.6304924801268)",27.00000000000,COMUNA 04,FINOCHIETTO ENRIQUE DR. 863,,--,FINOCHIETTO ENRIQUE DR. 863,863 FINOCHIETTO ENRIQUE DR.,"-58,3760014587006","-34,6304924801268",0.00000000000,,,,,,milagros758@yahoo.com.ar,4612-4953
"POINT (-58.4010103007048 -34.5898083981099)",28.00000000000,COMUNA 02,FRENCH 2613,RESIDENCIA MARSELLA,Lic. Alejandra Natalia Santoro,FRENCH 2613,2613 FRENCH,"-58,4010103007048","-34,5898083981099",0.00000000000,,,,,,residenciafloress@gmail.com,4631-0268 / 4902-2240
"POINT (-58.4614379130823 -34.6249402306463)",30.00000000000,COMUNA 07,GAVILAN 359,RESIDENCIA GERIATRICA FLORES,Mariana Grinberg,GAVILAN 359,359 GAVILAN,"-58,4614379130823","-34,6249402306463",0.00000000000,,,,,,"info@residenciaroma.com.ar; admin@residenciaroma.com.ar",4611-9574 / 2147-5669
"POINT (-58.4797482963014 -34.6313122409995)",31.00000000000,COMUNA 10,"GONZALEZ, JOAQUIN V. 165",HOGAR MICAELA,Dr. Victor Celestino Cavallo,"GONZALEZ, JOAQUIN V. 165","165 GONZALEZ, JOAQUIN V.","-58,4797482963014","-34,6313122409995",0.00000000000,,,,,,info@lantelme.com.ar,4923-2481 / 15-31546219
"POINT (-58.4848999575339 -34.6328509830389)",32.00000000000,COMUNA 10,GUALEGUAYCHU 142,MOSHAB ZEKENIM,Dra. Analia Graciela Rackauskas,GUALEGUAYCHU 142,142 GUALEGUAYCHU,"-58,4848999575339","-34,6328509830389",0.00000000000,,,,,,gallardo140sa@gmail.com,2006-3027 / 1167453572
"POINT (-58.5154258323224 -34.5995445417704)",33.00000000000,COMUNA 11,GUALEGUAYCHU 4161,CONGREGACION DE MADRES DE DESAMP. Y S. JOSE DE LA MONTAÑA,Dr. Victor Francisco Herrera,GUALEGUAYCHU 4161,4161 GUALEGUAYCHU,"-58,5154258323224","-34,5995445417704",0.00000000000,,,,,,residencia.moreto678@gmail.com,4672-3817
"POINT (-58.4509557283494 -34.5866679842624)",35.00000000000,COMUNA 15,GUEVARA 447,NUEVO HOGAR LEADOR VADOR,ENRIQUE BURBINSKI,GUEVARA 447,447 GUEVARA,"-58,4509557283494","-34,5866679842624",0.00000000000,,,,,,otallarico@intramed.net,4644-4553 / 1561773756
"POINT (-58.4235342348687 -34.6016375632306)",36.00000000000,COMUNA 05,HUMAHUACA 4175,COHABITAM,"LEON EFRAIN, LITWAK",HUMAHUACA 4175,4175 HUMAHUACA,"-58,4235342348687","-34,6016375632306",0.00000000000,,,,,,bettyfunes@live.com salech_5@hotmail.com,4644-0022 / 1561979099
"POINT (-58.4982174203056 -34.6254613275142)",37.00000000000,COMUNA 10,"MAGARIÑOS CERVANTES, A. 4651",GERIÁTRCO MODELO CERVANTES,"OSCAR, GUILLAMONDEGUI","MAGARIÑOS CERVANTES, A. 4651","4651 MAGARIÑOS CERVANTES, A.","-58,4982174203056","-34,6254613275142",0.00000000000,,,,,,gonzamc@hotmail.com,1134813606 (Dr. GONZALO J. MARTINEZ CORVALAN)
"POINT (-58.4156381213966 -34.6165233129986)",38.00000000000,COMUNA 05,MAZA 456,INST. GERIATRICO DR. AISEMBERG,Javier Leandro Aisenberg,MAZA 456,456 MAZA,"-58,4156381213966","-34,6165233129986",0.00000000000,,,,,,sigra1709@gmail.com,4635-4694
"POINT (-58.4873965987731 -34.6439253860783)",40.00000000000,COMUNA 09,MORETO 678,RESIDENCIA MORETO,,MORETO 678,678 MORETO,"-58,4873965987731","-34,6439253860783",0.00000000000,,,,,,,
"POINT (-58.4273417310996 -34.6175386700266)",41.00000000000,COMUNA 05,MUÑIZ 341,HORAI,NESTOR JAVIER SALVATI,MUÑIZ 341,341 MUÑIZ,"-58,4273417310996","-34,6175386700266",0.00000000000,,,,,,arquitecta.mc@gmail.com,"2100-7859 / 1550388815
"
"POINT (-58.5100645267766 -34.6501119270525)",42.00000000000,COMUNA 09,MURGUIONDO 1148,DON FRANCISCO,Dr. Nicolás Matias Femia,MURGUIONDO 1148,1148 MURGUIONDO,"-58,5100645267766","-34,6501119270525",0.00000000000,,,,,,,
"POINT (-58.4688508485866 -34.5508941421685)",43.00000000000,COMUNA 13,NUÑEZ 2546,EDIFICIO MANANTIAL,--,NUÑEZ 2546,2546 NUÑEZ,"-58,4688508485866","-34,5508941421685",0.00000000000,,,,,,las_martas@hotmail.com,4521-1015 / 4584-8329
"POINT (-58.4570369451388 -34.5594091780038)",44.00000000000,COMUNA 13,OLAZABAL 2271,RESIDENCIA MARGARITA,ANTOFLO SRL,OLAZABAL 2271,2271 OLAZABAL,"-58,4570369451388","-34,5594091780038",0.00000000000,,,,,,hsjosemt@arnetbiz.com.ar vtlestudio@gmail.com,4502-3430 / 45035533
"POINT (-58.5144128128613 -34.6447240523824)",45.00000000000,COMUNA 09,OLIDEN 576,HOGAR MI ESPERANZA,,OLIDEN 576,576 OLIDEN,"-58,5144128128613","-34,6447240523824",0.00000000000,,,,,,admision@centrodelparque.com.ar,4503-0858
"POINT (-58.4515852685153 -34.5835534274085)",46.00000000000,COMUNA 15,OLLEROS 3770,SAN JORGE,,OLLEROS 3770,3770 OLLEROS,"-58,4515852685153","-34,5835534274085",0.00000000000,,,,,,,4521-7634 / 1160514718 / 1164963856 (Donadio)
"POINT (-58.4076168222054 -34.644699420513)",47.00000000000,COMUNA 04,"PAZ, JOSE C. 3246",MANFREDI JESÚS,Dr. Jorge Enrique Szefner,"PAZ, JOSE C. 3246","3246 PAZ, JOSE C.","-58,4076168222054","-34,644699420513",0.00000000000,,,,,,jose@residenciadelarce.com.ar mariela@residenciadelarce.com.ar,4521-8377 / 15-30276470 / 45222063
"POINT (-58.5052960658971 -34.650382085693)",48.00000000000,COMUNA 09,PIERES 1106,HOGAR LA FE,Dra. María Cristina Mayor,PIERES 1106,1106 PIERES,"-58,5052960658971","-34,650382085693",0.00000000000,,,,,,residenciatramas@hotmail.com,4571-0781 / 15-37621324
"POINT (-58.4693546393047 -34.6411368462648)",49.00000000000,COMUNA 07,PORTELA 790,GERIÁTRICO SANTA ROSA,,PORTELA 790,790 PORTELA,"-58,4693546393047","-34,6411368462648",0.00000000000,,,,,,lucamarceca@gmail.com,"1151789552"
"POINT (-58.4227642904631 -34.6072679529245)",50.00000000000,COMUNA 05,POTOSI 3990,EL SOLAR DE DON BOSCO,,POTOSI 3990,3990 POTOSI,"-58,4227642904631","-34,6072679529245",0.00000000000,,,,,,"direccion@residenciagalia.com.ar; info@residenciagalia.com.ar",4545-4440 / 1549984870
"POINT (-58.4276818936642 -34.6076067081471)",51.00000000000,COMUNA 05,PRINGLES 377,CASA DEL SOL,,PRINGLES 377,377 PRINGLES,"-58,4276818936642","-34,6076067081471",0.00000000000,,,,,,ignacioebobek@gmail.com,4704-5257 / 15-57558199 / 15-58323030
"POINT (-58.4688698875081 -34.6363175824834)",52.00000000000,COMUNA 07,QUIRNO 431,RESIDENCIA ROMA,,QUIRNO 431,431 QUIRNO,"-58,4688698875081","-34,6363175824834",0.00000000000,,,,,,complejodeleste.info@gmail.com,4702-6905
"POINT (-58.4339562964832 -34.569984009237)",53.00000000000,COMUNA 14,REPUBLICA DE ESLOVENIA 1867,RESIDENCIA GARDENIA,,REPUBLICA DE ESLOVENIA 1867,1867 REPUBLICA DE ESLOVENIA,"-58,4339562964832","-34,569984009237",0.00000000000,,,,,,rrhh@manantialghumano.com.ar,4701-4477
"POINT (-58.4923627466559 -34.5765142801959)",54.00000000000,COMUNA 12,ROOSEVELT FRANKLIN D. AV. 5570,RESIDENCIA GERIÁTRICA ARCE,,ROOSEVELT FRANKLIN D. AV. 5570,5570 ROOSEVELT FRANKLIN D. AV.,"-58,4923627466559","-34,5765142801959",0.00000000000,,,,,,,
"POINT (-58.414704928324 -34.6075983181488)",55.00000000000,COMUNA 05,SANCHEZ DE BUSTAMANTE 170,THE SENIOR HOME,,SANCHEZ DE BUSTAMANTE 170,170 SANCHEZ DE BUSTAMANTE,"-58,414704928324","-34,6075983181488",0.00000000000,,,,,,adrian_manganaro@hotmail.com,4552-9206 / 45529206 / 1556670172
"POINT (-58.3903690241378 -34.6162744190699)",57.00000000000,COMUNA 01,SOLIS 656,CUMBRES DE MONTSERRAT,,SOLIS 656,656 SOLIS,"-58,3903690241378","-34,6162744190699",0.00000000000,,,,,,geriatricoserrano@hotmail.com,4832-4526
"POINT (-58.4632151990497 -34.5687482119883)",58.00000000000,COMUNA 13,"SUCRE, ANTONIO JOSE DE, MCAL. 3241",NUEVO HOGAR DE BELGRANO,,"SUCRE, ANTONIO JOSE DE, MCAL. 3241","3241 SUCRE, ANTONIO JOSE DE, MCAL.","-58,4632151990497","-34,5687482119883",0.00000000000,,,,,,cpc@estudio-mpc.com,"4802-2737
"
"POINT (-58.4864154419493 -34.603462251949)",59.00000000000,COMUNA 11,TERRADA 2749,CENTRO DEL PARQUE,,TERRADA 2749,2749 TERRADA,"-58,4864154419493","-34,603462251949",0.00000000000,,,,,,,
"POINT (-58.4988232886861 -34.5880551954957)",60.00000000000,COMUNA 12,TERRADA 4371,TRAMAS,,TERRADA 4371,4371 TERRADA,"-58,4988232886861","-34,5880551954957",0.00000000000,,,,,,mtaboada@argenprom.com.ar victoria.marenco@residenciagardeña.com m.muti@villajuncal.com.ar,"1540751455"
"POINT (-58.4317709943058 -34.5872531908162)",61.00000000000,COMUNA 14,URIARTE 1634,RESIDENCIA GERIÁTRICA DR. SILVA,,URIARTE 1634,1634 URIARTE,"-58,4317709943058","-34,5872531908162",0.00000000000,,,,,,sibilasolsilva@gmail.com,4832-4507
"POINT (-58.3976690314759 -34.5933443147703)",62.00000000000,COMUNA 02,"URIBURU JOSE E., PRES. 1270",CASA MATER,,"URIBURU JOSE E., PRES. 1270","1270 URIBURU JOSE E., PRES.","-58,3976690314759","-34,5933443147703",0.00000000000,,,,,,clubtinetenseresidenciaasturiana@hotmail.com,4855-6253
"POINT (-58.4491289778063 -34.5756771639634)",63.00000000000,COMUNA 13,ZAPIOLA 765,RESIDENCIA ZAPIOLA,,ZAPIOLA 765,765 ZAPIOLA,"-58,4491289778063","-34,5756771639634",0.00000000000,,,,,,"dgameroff@hogarledorvador.org.ar, eburbinski@hogarleadorvador.org.ar",4556-2222
"POINT (-58.4299338446758 -34.6288212872876)",64.00000000000,COMUNA 07,ZUVIRIA 247,CLÍNICA CENTRAL,,ZUVIRIA 247,247 ZUVIRIA,"-58,4299338446758","-34,6288212872877",0.00000000000,,,,,,,
"POINT (-58.3845087614117 -34.6282096316445)",65.00000000000,COMUNA 01,BRASIL,RESIDENCIA AVRIL,FERNANDO DAMIAN JAIDA,BRASIL 1314,1314 BRASIL,"-58,3845087614117","-34,6282096316445",1314.00000000000,CONSTITUCION,EDESUR,,,,rinconcitodeluz2018@outlook.com,4305-1116 / 46314227
"POINT (-58.3881704170429 -34.6336013352151)",66.00000000000,COMUNA 01,CASEROS,CASEROS,"MARIA BELEN, MARIÑO",CASEROS AV. 1847,1847 CASEROS AV.,"-58,3881704170429","-34,6336013352151",1847.00000000000,CONSTITUCION,EDESUR,,,,geriatricocaseros@yahoo.com.ar,4304-1404 / 4305-0497
"POINT (-58.3900435910904 -34.6189623076052)",69.00000000000,COMUNA 01,ESTADOS UNIDOS,ESPIRUTÚ SANTO,Dra. Silvia Martinez,ESTADOS UNIDOS 1683,1683 ESTADOS UNIDOS,"-58,3900435910904","-34,6189623076052",1683.00000000000,CONSTITUCION,EDESUR,S/D,NO,,clingeresanto@yahoo.com.ar,"4383-6368 / 5356-3438
"
"POINT (-58.3896559190841 -34.627214933558)",72.00000000000,COMUNA 01,JUAN DE GARAY,SAN FRANCISCO DE ASIS,COMAS BIBIANA GRACIELA,"GARAY, JUAN DE AV. 1714","1714 GARAY, JUAN DE AV.","-58,3896559190841","-34,627214933558",1714.00000000000,CONSTITUCION,EDESUR,,,,bibiana_comas@hotmail.com,4304-4374
"POINT (-58.3794316287633 -34.5928710631519)",73.00000000000,COMUNA 01,JUNCAL,VILLA JUNCAL,,JUNCAL 857,857 JUNCAL,"-58,3794316287633","-34,5928710631519",857.00000000000,RETIRO,EDESUR,,,,v.salerno@villajuncal.com.ar,4393-7732 / 1143262690
"POINT (-58.3855473012722 -34.6307631474817)",74.00000000000,COMUNA 01,SAN JOSE,NUESTRA SEÑORA DEL CARMEN,,SAN JOSE 1870,1870 SAN JOSE,"-58,3855473012722","-34,6307631474817",1870.00000000000,CONSTITUCION,EDESUR,,,,claujor@netizen.com.ar,4306-4476 / 1138339666
"POINT (-58.3854661154515 -34.6320756990177)",75.00000000000,COMUNA 01,SAN JOSE,SAN JOSÉ,,SAN JOSE 2013,2013 SAN JOSE,"-58,3854661154515","-34,6320756990177",2013.00000000000,CONSTITUCION,EDESUR,S/D,NO,,marianbussot@hotmail.com,4304-5853 / 1149814080
"POINT (-58.3786573054805 -34.6210509700601)",76.00000000000,COMUNA 01,TACUARI,INSTITUTO GERIATRICO SAN JUAN,,TACUARI 1115,1115 TACUARI,"-58,3786573054805","-34,6210509700601",1115.00000000000,CONSTITUCION,EDESUR,,,,info@geriatricosanjuan.com,4300-3271
"POINT (-58.3887626439868 -34.6211435432768)",77.00000000000,COMUNA 01,VIRREY CEVALLOS,SANTA TERESITA,,"CEVALLOS, VIRREY 1082","1082 CEVALLOS, VIRREY","-58,3887626439868","-34,6211435432768",1082.00000000000,CONSTITUCION,EDESUR,,,,monica_camerano@yahoo.com.ar,4304-1369 / 1144345070 / 1155646862
"POINT (-58.3974676075825 -34.5944086797804)",79.00000000000,COMUNA 02,ARENALES,CARPE DIEM ARENALES,ALEJANDRO PAOLASSO,ARENALES 2131,2131 ARENALES,"-58,3974676075825","-34,5944086797804",2131.00000000000,RECOLETA,EDESUR,S/D,NO,,grupomedico86@yahoo.com.ar marcelinaduhalde@btconsulting.com.ar,4824-3084 / 43827072
"POINT (-58.4012076735198 -34.5935535380644)",80.00000000000,COMUNA 02,ARENALES,RESIDENCIA ALEPH,"JUDITH ROSA, STEINBERG",ARENALES 2445,2445 ARENALES,"-58,4012076735198","-34,5935535380644",2445.00000000000,RECOLETA,EDESUR,,,,sueldosferreira@yahoo.com.ar,4823-1321 / 15-51830167 / 47880774
"POINT (-58.4067917284792 -34.5865104459277)",81.00000000000,COMUNA 02,BILLINGHURST,INSTITUTO GERIÁTRICO DE REHABILITACIÓN INTEGRAL,Liliana María Elena Zurlo,BILLINGHURST 2180,2180 BILLINGHURST,"-58,4067917284792","-34,5865104459277",2180.00000000000,RECOLETA,EDENOR,S/D,SI,CUBRE LAS NECESIDADES BASICAS DEL ESTABLECIMIENTO,igri_11@yahoo.com.ar,4823-9999 /7042
"POINT (-58.4032973187454 -34.5884760494171)",82.00000000000,COMUNA 02,FRENCH 2826,GERIFREN S.R.L,Romina Sacco,FRENCH 2826,2826 FRENCH,"-58,4032973187454","-34,5884760494171",0.00000000000,,,,,,diegotolettini@hotmail.com,4822-9808
"POINT (-58.4113057351904 -34.5956842546068)",83.00000000000,COMUNA 02,GALLO,SANTA SOFIA,MAGGIORE JOSE MARIA,GALLO 1268,1268 GALLO,"-58,4113057351904","-34,5956842546068",1268.00000000000,RECOLETA,EDENOR,S/D,NO,,lilianacaranguren@hotmail.com,4961-4705
"POINT (-58.4040654758592 -34.5897574329675)",84.00000000000,COMUNA 02,JUNCAL,MEDIGER S.R.L,"PABLO, MAGNANEGO",JUNCAL 2676,2676 JUNCAL,"-58,4040654758592","-34,5897574329675",2676.00000000000,RECOLETA,EDESUR - EDENOR,,,,medigersrl@yahoo.com.ar,4822-3420 / 4821-4592
"POINT (-58.4024250744956 -34.5977092779757)",85.00000000000,COMUNA 02,PARAGUAY,CARPE DIEM,,PARAGUAY 2426,2426 PARAGUAY,"-58,4024250744956","-34,5977092779757",2426.00000000000,RECOLETA,EDESUR - EDENOR,S/D,NO,,sergio_estudiocasella@yahoo.com,4961-9060 / 1536837407
"POINT (-58.4029460177239 -34.597619068051)",86.00000000000,COMUNA 02,PARAGUAY,INSTITUTO GERIÁTRICO DE REHABILITACIÓN INTEGRAL,,PARAGUAY 2465,2465 PARAGUAY,"-58,4029460177239","-34,597619068051",2465.00000000000,RECOLETA,EDESUR - EDENOR,S/D,NO,,arias_loana@hotmail.com,4963-3659 / 4966-0175 / 1536837407
"POINT (-58.4036098628444 -34.5975041192688)",88.00000000000,COMUNA 02,PARAGUAY 2512,MATER,,PARAGUAY 2512,2512 PARAGUAY,"-58,4036098628444","-34,5975041192688",0.00000000000,,,,,,"estudiopizzi@hotmail.com, info@matersant.com",4961- 0209 / 1535939595
"POINT (-58.3962894134663 -34.5915703955341)",89.00000000000,COMUNA 02,PEÑA,DEL PILAR,,PEÑA 2138,2138 PEÑA,"-58,3962894134663","-34,5915703955341",2138.00000000000,RECOLETA,EDESUR,S/D,NO,,leandrobedoya@hotmail.com,4806-0023 / 4806-4167 / 35337707
"POINT (-58.38733926196 -34.5943695090115)",90.00000000000,COMUNA 02,URUGUAY,SANTA CATALINA,,URUGUAY 1216,1216 URUGUAY,"-58,38733926196","-34,5943695090115",1216.00000000000,RECOLETA,EDESUR,,,,rgsantacatalina@gmail.com,4816-0559/0560 / 1548160558
"POINT (-58.4100706823508 -34.6277119359402)",91.00000000000,COMUNA 03,24 DE NOVIEMBRE,HOGAR ENTRE AMIGOS,--,24 DE NOVIEMBRE 1421,1421 24 DE NOVIEMBRE,"-58,4100706823508","-34,6277119359402",1421.00000000000,SAN CRISTOBAL,EDESUR,,,CAMBIO DE REPRESENTANTE TECNICO,gregorioneumayer@hotmail.com,4931-1517 / 155336-5299
"POINT (-58.4011258733015 -34.6170627926032)",92.00000000000,COMUNA 03,ALBERTI,RESIDENCIA GERIÁTRICA ALBERTI,"Fernanda Laura, Raffo Palma",ALBERTI 647,647 ALBERTI,"-58,4011258733015","-34,6170627926032",647.00000000000,BALVANERA,EDESUR,,,CAMBIO DE REPRESENTANTE TECNICO,MARTIN_ESTUDIO@FIBERTEL.COM.AR fernandaraffopalma@yahoo.com.ar,4943-3331 / 15-58061061 / 49031413
"POINT (-58.3925705061987 -34.6080133416207)",93.00000000000,COMUNA 03,BARTOLOME MITRE,WE CARE,Dr. José Ricardo Jauregui,"MITRE, BARTOLOME 1838","1838 MITRE, BARTOLOME","-58,3925705061987","-34,6080133416207",1838.00000000000,BALVANERA,EDESUR,,,,info@wecare.com.ar,4036-7826 / 11-39885175
"POINT (-58.4137948158771 -34.6093306628088)",94.00000000000,COMUNA 03,BARTOLOME MITRE,NAZARET,DR. CIORCIARI MIGUEL ANGEL,"MITRE, BARTOLOME 3345","3345 MITRE, BARTOLOME","-58,4137948158771","-34,6093306628088",3345.00000000000,BALVANERA,EDESUR,,,,paola_gamberale@yahoo.com,4863-5222 / 4863-5215
"POINT (-58.404997473193 -34.5988416820664)",95.00000000000,COMUNA 03,BOULOGNE SUR MER,GERIÁTRICO CASA AZUL,MAGNANEGO PABLO,BOULOGNE SUR MER 954,954 BOULOGNE SUR MER,"-58,404997473193","-34,5988416820664",954.00000000000,BALVANERA,EDESUR,,,,"amalia_vecilla@yahoo.com.ar, residenciacasazul@hotmail.com",4962-7127 /4961-7127 /8018 / 1143738625
"POINT (-58.3968510457486 -34.6206949273335)",96.00000000000,COMUNA 03,CARLOS CALVO,SAN JOSÉ,Nicolasa Videla,"CALVO, CARLOS 2180","2180 CALVO, CARLOS","-58,3968510457486","-34,6206949273335",2180.00000000000,SAN CRISTOBAL,EDESUR,,,,monica_camerano@yahoo.com.ar,4304-7827 / 8799 / 1155646862
