WKT,id,nombre,direccion,telefono,email,web,mecanica_s,horario_de,calle,altura,calle2,direccion_,barrio,comuna
"POINT (-58.4127987603878 -34.5919153728136)","32",American Bike,Av. Cnel. Diaz 1664,4822-0889,info@americanbike.com.ar,http://www.americanbike.com.ar/,True,Lun a Vier de 10 a 14 y de 15 a 20.30 / Sáb de 10 a 14 y de 15 a 20,"DIAZ, CNEL. AV.","1664",,"DIAZ, CNEL. AV. 1664",Palermo,Comuna 14
"POINT (-58.442391551387 -34.5859087869051)","33",Bicicletería Orense,Av. Cordoba 5801,4772-2265,orensebikes@yahoo.com.ar,http://www.bicicletasorense.com.ar/,True,Lun a vier de 9.30-13 y de 15 a 19.30,CORDOBA AV.,"5801",,CORDOBA AV. 5801,Palermo,Comuna 14
"POINT (-58.4881954817608 -34.6482052323649)","34",Rodados Universo,Av Directorio 4699,4682-3627,info@rodadosuniverso.com.ar,http://www.rodadosuniverso.com.ar/,False,Lun a vier de 9 a 13 y de 15 a 20/Sáb de 9 a 14,DIRECTORIO AV.,"4699",,DIRECTORIO AV. 4699,Parque Avellaneda,Comuna 9
"POINT (-58.4882995382971 -34.6351744082474)","35",Rodados Universo,Av. Rivadavia 8829,4671-0478,info@rodadosuniverso.com.ar,http://www.rodadosuniverso.com.ar/,False,Lun a vier de 9 a 13 y de 15 a 20/Sáb de 9 a 14,RIVADAVIA AV.,"8829",,RIVADAVIA AV. 8829,Velez Sarsfield,Comuna 10
"POINT (-58.4746421099342 -34.540009667519)","36",Bicicleterias Marino,Av. Cabildo 4883,4701-5485,bicicletasmarino@fibertel.com.ar,,False,Lun a Vier de 9 a 12 y de 15 a 19/Sáb de 9 a 13,CABILDO AV.,"4883",,CABILDO AV. 4883,Nuñez,Comuna 13
"POINT (-58.4594924500695 -34.6142763492559)","37",Rodados Schisano,Av. Donato Alvarez 1064,4584-8159,info@schisano.com.ar,www.schisano.com.ar,False,,"ALVAREZ, DONATO, Tte. Gral.","1064",,"ALVAREZ, DONATO, Tte. Gral. 1064",Flores,Comuna 7
"POINT (-58.4950041303711 -34.5816150143853)","38",Rodados Diaz,Av Mosconi 2255,4571-6481/4574-1613,info@rodasdosdiaz.com.ar,http://www.rodadosdiaz.com.ar/,False,Lun a Vier de 7 a 15/Sáb de 8 a 13,MOSCONI GENERAL AV.,"2255",,MOSCONI GENERAL AV. 2255,Villa Pueyrredon,Comuna 12
"POINT (-58.5139755599379 -34.6590859137992)","39",Ham Bike,Guamin¡ 1928,4686-3486,hambike@hotmail.com,http://www.hambike.com.ar/,False,Lun - Vie: 9:30 - 18:30/Sáb: 9:30 - 18:00,GUAMINI,"1928",,GUAMINI 1928,Mataderos,Comuna 9
"POINT (-58.4596141774487 -34.5540741397022)","40",Nino Bikes,Av. Congreso 2114,3527-4001,bicicleterianino@gmail.com,http://www.ninobikes.com/,True,,Congreso,"2114",,CONGRESO 2114,Belgrano,Comuna 13
"POINT (-58.4395188657828 -34.6286709366344)","42",Mega Bike Center,Av Directorio 899,4923-7767,alejonappi@yahoo.com.ar,,False,Lun a Sáb de 9 a 19,DIRECTORIO AV.,"899",,DIRECTORIO AV. 899,Caballito,Comuna 6
"POINT (-58.4715631550633 -34.5441887368499)","43",Rodados Atalaya,Av.Cabildo 4337,4702-2952,atalaya@rodadosatalaya.com,http://www.rodadosatalaya.com.ar/,False,Lun a Vier de 9 a 12 y de 15 a 19 / Sáb de 9 a 14,CABILDO AV.,"4337",,CABILDO AV. 4337,Nuñez,Comuna 13
"POINT (-58.4249961279682 -34.5907058294205)","44",Only Bikes de Rodados Lucern,Scalabrini Ortiz 1602,4831-4286,rodadoslucerna@fibertel.com.ar,http://www.onlybikes.com.ar/,False,Lun a Sáb de 10 a 20,"SCALABRINI ORTIZ, RAUL AV.","1602",,"SCALABRINI ORTIZ, RAUL AV. 1602",Palermo,Comuna 14
"POINT (-58.4642708438042 -34.6447786067153)","46",Rodados Vidal,Av.Eva Per¢n 3454,4612-8198,biciman75@hotmail.com,,False,,"PERON, EVA AV.","3454",,"PERON, EVA AV. 3454",Flores,Comuna 7
"POINT (-58.4954395802788 -34.6019000296054)","47",Zotta,R. Gutierrez 3222,4503 1882,info@zotta.com.ar,http://www.zotta.com.ar,False,Lun a Vier de 8.30 a 13 y de 14 a 18/Sáb de 8.30 a 13.30,"GUTIERREZ, RICARDO","3222",,"GUTIERREZ, RICARDO 3222",Villa Del Parque,Comuna 11
"POINT (-58.4906455423958 -34.6072912852277)","48",Miely,Cuenca 2474,1552481346/ 4502-8690,rodados_mieli@yahoo.com,,False,Lun a vier de 9 a 12.30 y de 15.30 a 19.30/Sáb de 9 a 18,CUENCA,"2474",,CUENCA 2474,Villa Del Parque,Comuna 11
"POINT (-58.4379089812699 -34.584625070227)","50",Monochrome,Gorriti 5656,"1136268694",info@monochrome.com.ar,http://www.monochrome.com.ar/,False,Lun a vier de 11.30 a 19,GORRITI,"5656",,GORRITI 5656,Palermo,Comuna 14
"POINT (-58.4842303926027 -34.5546469869851)","51",Thunder Bikes,Av. Ricardo Balb¡n 3827,4547-0451,info.thunderbikes@gmail.com,http://www.thunderbikes.com.ar,False,Lun a vier 9 a 13 y 15 a 19/Sáb de 10 a 14 y 15 a 17,"BALBIN, RICARDO, DR. AV.","3827",,"BALBIN, RICARDO, DR. AV. 3827",Saavedra,Comuna 12
"POINT (-58.4660412494516 -34.5570602159848)","52",11 a fondo,Congreso 2757,4542-1835,info@11afondo.com,http://www.11afondo.com,False,Lun a Vie de 10 a 14 y de 16 a 20/Sáb de 10 a 14,CONGRESO AV.,"2757",,CONGRESO AV. 2757,Nuñez,Comuna 13
"POINT (-58.3726542364846 -34.621739459689)","53",Bicicleteria Balcarce,San Juan 495,4300-5369,,,False,Lun a vier de 7 a 19 / Sáb de 8 a 14,SAN JUAN AV.,"495",,SAN JUAN AV. 495,San Telmo,Comuna 1
"POINT (-58.4141108589074 -34.5957642488676)","54",Tecno Bikes,billinghurst 1186,4962-7158,vicicletero@hotmail.com,,True,Lun a vier de 10 a 20/Sáb de 10 a 16,BILLINGHURST,"1186",,BILLINGHURST 1186,Recoleta,Comuna 2
"POINT (-58.3736264836217 -34.6298334036598)","55",Bici Vazquez,Ituzaingo 602,4300-2081,dava62@hotmail.com,,True,,ITUZAINGO,"602",,ITUZAINGO 602,Barracas,Comuna 4
"POINT (-58.4315935857146 -34.5889148573247)","56",Muvin,Gorriti 5051,"4833.2154",info@muvin.com.ar,http://www.muvin.com.ar/,False,Lun a sáb de 10 a 19,GORRITI,"5051",,GORRITI 5051,Palermo,Comuna 14
"POINT (-58.4190168472607 -34.6112474989457)","57",Bicicleteria Movimiento / Biciland,Av. Rivadavia 3746,4983-9569,,,False,Lun a vier de 9.30 a 13.30 y de 16 a 20,RIVADAVIA AV.,"3746",,RIVADAVIA AV. 3746,Almagro,Comuna 5
"POINT (-58.407958858312 -34.619952906611)","58",Bicicleterias Alejo,La rioja 815,4957-1067/15-6553-6869,bicicletasalejo@yahoo.com.ar,http://www.bicicletasalejo.com.ar/,False,Lun a vier de 8.30 a 19/Sáb de 9 a 18,LA RIOJA,"815",,LA RIOJA 815,San Cristobal,Comuna 3
"POINT (-58.4565086424785 -34.5803202988197)","59",Busato,Giribone 990,4553-4278,rodadosbusato@hotmail.com,,True,Lun a Vier de 9 a 13 y de 15 a 19/Sáb de 9 a 13,GIRIBONE,"990",,GIRIBONE 990,Chacarita,Comuna 15
"POINT (-58.3900093426822 -34.622908400538)","60",Furia Specialized Shop,Solis 1221,4304 - 8638,furiashop@gmail.com,http://www.furiashop.com/,False,Lunes a Viernes de 10.30 a 19,SOLIS,"1221",,SOLIS 1221,Constitucion,Comuna 1
"POINT (-58.4360330263864 -34.5885901629786)","61",Soho Bike,Godoy cruz 1518,4777-2394,diosteama_tantocomoyo@hotmail.com.ar,,True,Lun a vier de 10 a 20,GODOY CRUZ,"1518",,GODOY CRUZ 1518,Palermo,Comuna 14
"POINT (-58.5000282623505 -34.5653461588656)","63",Rodados Daye,Av. Crisologo Larralde 569,4541-4374,mdaye@dayebicycles.com,http://www.dayebicycles.com/dayebicycl,False,Lun a Vier de 10 a 19 y Sáb de 10 a 16,"LARRALDE, CRISOLOGO AV.","5690",,"LARRALDE, CRISOLOGO AV. 5690",Villa Urquiza,Comuna 12
"POINT (-58.513538474402 -34.622590150497)","64",Rodados Daye,Lope de Vega 1887,4567-6269,mdaye@dayebicycles.com,http://www.dayebicycles.com/dayebicycl,False,Lun a Vier de 10 a 19 y Sáb de 10 a 16,LOPE DE VEGA AV.,"1887",,LOPE DE VEGA AV. 1887,Monte Castro,Comuna 10
"POINT (-58.4898208806942 -34.5746866046005)","65",Urquiza Bikes (sólo venta),Bucarelli 2530,4523-6031,consultas@urquizabikes.com.ar,http://urquizabikes.com.ar,False,Lun a Vier de 10.30 a 14 y de 16.30 - 20.30/Sáb de 9.30 a 14.30,BUCARELLI,"2530",,BUCARELLI 2530,Villa Urquiza,Comuna 12
"POINT (-58.4227541475468 -34.5947856672086)","66",Vida Sana Bike,Gascon 1349,6380-3192,vidasana@yahoo.com.ar,www.vidasanabike.com.ar,False,Lun a Sáb de 10 a 19,GASCON,"1349",,GASCON 1349,Palermo,Comuna 14
"POINT (-58.45474417037 -34.5635912664704)","67",Bici Urbana,sucre 2357,4784-0155 / 4787-2056,contacto@biciurbana.com.ar,www.biciurbana.com.ar,True,Lun a Sáb de 10 a 19,"SUCRE, ANTONIO JOSE de, Mcal.","2357",,"SUCRE, ANTONIO JOSE de, Mcal. 2357",Belgrano,Comuna 13
"POINT (-58.413237106154 -34.5951110114845)","69",Santilli,Soler 3470,4963-0416,zekito@hotmail.com,,True,Lun a Vier de 10 a 19 / Sáb de 10 a 14,soler,"3470",,SOLER 3470,Recoleta,Comuna 2
"POINT (-58.4074446684751 -34.5818763390871)","72",Lucky Bikes,Cabello 3266,4781-6910,info@lbikes.com.ar,http://luckybikes.mercadoshops.com.ar/,False,Lun a vier de 12 a 19/Sáb de 10 a 14,Cabello,"3266",,CABELLO 3266,Palermo,Comuna 14
"POINT (-58.4016417101728 -34.5893178120918)","73",Via Bike,French 2695,4806-5566 / 15 3432-2748,info@viabike.com.ar,https://www.facebook.com/viabikeweb/info,True,Lun a Vie de 10 a 20/Sáb de 10 a 13,French,"2695",,FRENCH 2695,Recoleta,Comuna 2
"POINT (-58.3845367668705 -34.5938558630205)","74",Libertad Cycling (Sucursal 2),Libertad 1238,4811-9112,recoleta@libertadcycling.com.ar,https://libertadcycling.com.ar/,True,Lun a Viernes 10 a 19 - Sábados 11 a 14.,Libertad,"1238",,LIBERTAD 1238,Retiro,Comuna 1
"POINT (-58.3867324756149 -34.6095812007647)","75",Rodados Ferreri,Av De Mayo 1454,4381-3683,https://www.facebook.com/rodadosferreri,http://www.rodadosferreri.com.ar,False,Lun-Mar-Mier y Vier de 10 a 20/Jue de 10 a 17/Sáb de 10 a 13,De Mayo Av,"1454",,DE MAYO AV. 1454,Monserrat,Comuna 1
"POINT (-58.4090271478509 -34.5811436455371)","76",Tu Hogar Sustentable,Cabello 3433,6091-3838,info@tuhogarsustentable.com,http://www.tuhogarsustentable.com/,False,Lun a Vier 10 a 13.30 y 15 a 20/Sáb 10 a 14 y de 15 a 18,Cabello,"3433",,CABELLO 3433,Palermo,Comuna 14
"POINT (-58.4298812808182 -34.5899427569391)","77",BiciUp,Gurruchaga 1519,3530-1000  // 15 4039-5619,info@biciup.com.ar,http://www.biciup.com.ar/,False,Martes a Sábados de 11 a 20 / Domingos de 15:30 a 20,Gurruchaga,"1519",,GURRUCHAGA 1519,Palermo,Comuna 14
"POINT (-58.4969257955866 -34.6113426558201)","78",Venton,San Nicolás 2338 Puerta B,4568-0123,info@venton.com.ar,venton.com.ar,False,Lun a vier de 9 a 18,San Nicolás,"2338",,SAN NICOLAS 2338,Villa Del Parque,Comuna 11
"POINT (-58.4580864102498 -34.5687418675291)","79",Lord Bike,Crámer Av 1720,"47814984",lordbikeventas@gmail.com,https://www.facebook.com/Ldbike,False,Lun a vier de 10.30 a 13.30 y de 15.30 a 19.30/Sáb de 10.30 a 14,Crámer,"1720",,CRAMER AV. 1720,Belgrano,Comuna 13
"POINT (-58.5058609240612 -34.5886641082733)","80",Filardi,Mosconi 3192,4571-9265,,http://www.bicicletasfilardi.com.ar/inicio.htm,False,Lun a vier de 8:30 a 12 y de 15 a 19,Mosconi,"3192",,MOSCONI GENERAL AV. 3192,Villa Pueyrredon,Comuna 12
"POINT (-58.46497512325 -34.6031204875507)","81",Rodados Paternal,Donato Álvarez 2090,4586-4243,rodadospaternal@hotmail.com.ar,www.rodadospaternal.com.ar,True,Lun a Vier de 9 a 19.30/Sab de 9 a 17,Donato Álvarez,"2090",,"ALVAREZ, DONATO, Tte. Gral. AV. 2090",Villa Gral. Mitre,Comuna 11
"POINT (-58.4353238244358 -34.5646537633219)","82",Libertad Cycling (Sucursal 1),Av. del Libertador 4884,4772-4408,palermo@libertadcycling.com.ar,https://libertadcycling.com.ar/,True,Lun a Viernes 10 a 13 y 14 a 19 - Sábados 10 a 14.,Del Libertador,"4884",,DEL LIBERTADOR AV. 4884,Palermo,Comuna 14
"POINT (-58.4239993580936 -34.590040736856)","83",Soldani Cycling,Costa Rica 4401,3963-4083,costarica@soldanicycling.com,http://www.soldainicycling.com/,False,Lun a Vier de 10 a 20/Sáb de 10 a 16,Costa Rica,"4401",,COSTA RICA 4401,Palermo,Comuna 14
"POINT (-58.4332412259351 -34.6004091086599)","84",Sin Rueditas,Aguirre 184,4857-9594,bicisinrueditas@gmail.com,,False,,Aguirre,"184",,AGUIRRE 184,Villa Crespo,Comuna 15
"POINT (-58.4180500956765 -34.6258654742837)","85",Team Bikes,San Juan 3738,4922-8973,info@team-bikes.com.ar,http://team-bikes.com.ar/,False,Lun a vier de 10 a 13 y de 15 a 20/Sáb de 10 a 17:30,San Juan,"3738",,SAN JUAN AV. 3738,Boedo,Comuna 5
"POINT (-58.4361220537001 -34.5858022927225)","86",Rouen,Gorriti 5484,,,,False,,Gorriti,"5484",,GORRITI 5484,Palermo,Comuna 14
"POINT (-58.4361678197685 -34.585841966264)","88",Rouen,Gorriti 5484,15 6545-2933,info@rouen.cc,https://www.facebook.com/RouenCycling,False,,Gorriti,"5484",,GORRITI 5484,Palermo,Comuna 14
"POINT (-58.5163862996818 -34.6100585533756)","89",Viento Bikes,Jose Pedro Varela 4735,4639-0616,vientobikes@gmail.com,http://vientobikes.blogspot.com.ar - www.facebook.com/vientobikes,False,,Jose Pedro Varela,"4735",,"VARELA, JOSE PEDRO 4735",Villa Devoto,Comuna 11
"POINT (-58.4757350075368 -34.6182592106038)","90",Victorian Bikes,Av Nazca 1303,4582-0116 / 3973-7209,victorianbike@hotmail.com,www.victorianbike.com.ar // Facebook: @VICTORIANBIKE,True,Lun a Vier de 9.30 a 20/Sáb de 9.30 a 18,NAZCA,"1303",,NAZCA AV. 1303,Villa Santa Rita,Comuna 11
"POINT (-58.379479294642 -34.6045839958177)","91",Via Bike,Suipacha 318,4806-5566 / 15 3432-2748,info@viabike.com.ar,https://www.facebook.com/viabikeweb/info,True,Lun a Vie de 10 a 20/Sáb de 10 a 14,SUIPACHA,"318",,SUIPACHA 318,San Nicolas,Comuna 1
"POINT (-58.3987788814313 -34.5912567886913)","92",One love one bike,French 2350,4823-2890,onelove.onebike@gmail.com,http://www.oneloveonebike.com.ar/,False,Lun y feriados cerrado/Mar a Vier 11 a 19/Sáb y Dom 10 a 15,French,"2350",,FRENCH 2350,Recoleta,Comuna 2
"POINT (-58.4400564043563 -34.5826065395708)","93",Hollywood Bikes,Gorriti 5887,4777-4451,info@hollywoodbikes.com.ar,http://www.hollywoodbikes.com.ar/,False,Lun a vier de 11.30 a 19.30/Sáb de 11 a 16,Gorriti,"5887",,GORRITI 5887,Palermo,Comuna 14
"POINT (-58.3839944556766 -34.6179398150059)","94",Funbikers,Av. Independencia 1276,15 3328-9289,funbikers.arg@gmail.com,https://www.facebook.com/funbikers.arg,False,Lun-Vie: 9:00 - 19:30 // Sáb: 9:00 - 17:00,Av Independencia,"1276",,INDEPENDENCIA AV. 1276,Constitucion,Comuna 1
"POINT (-58.5003576515096 -34.5654704101338)","95",Venton,Av Crisologo Larralde 5704,4568-0123,info@venton.com.ar/dario@venton.com.ar,http://www.venton.com.ar/,False,,Av Crisologo Larralde,"5704",,"LARRALDE, CRISOLOGO AV. 5704",Villa Urquiza,Comuna 12
"POINT (-58.4131470129079 -34.5980954455178)","96",Schisano Bikes,Av. Córdoba 3300,4861-3334,schisano@schisano.com.ar,https://www.facebook.com/schisanobikes,False,,Córdoba,"3300",,CORDOBA AV. 3300,Almagro,Comuna 5
"POINT (-58.4759903410453 -34.5796743774967)","98",Carbonobikes,Av. Triunvirato 3905,4521-0292,info@carbonobikes.com.ar,www.carbonobikes.com.ar,True,Lunes de 16 a 20/Martes a Viernes de 10 a 13 y de 16 a 20,Triunvirato,"3905",,TRIUNVIRATO AV. 3905,Villa Ortuzar,Comuna 15
"POINT (-58.4524071474882 -34.5958906214649)","99",Service Top,Av. Dorrego 311,4856-0799,servicetop@hotmail.com,www.bicispersonalizadas.com,False,Lunes a Viernes de 10 a 19/Sábados de 9 a 13,Dorrego,"311",,DORREGO AV. 311,Villa Crespo,Comuna 15
"POINT (-58.4667507281558 -34.5511005038968)","100",Tienda Bike,Av Cabildo 3490,3529-6723,info@TiendaBike.com.ar,www.TiendaBike.com.ar,True,Lunes a Viernes de 10 a 13 y de 15 a 20/Sábados de 10 a 20,Cabildo,"3490",,CABILDO AV. 3490,Nuñez,Comuna 13
"POINT (-58.4741031180358 -34.6163040246333)","101",Bicicletería Works (Juan B Justo),Juan B. Justo 5502,4584-9533,wkbicicletas@hotmail.com,www.bicicleteriaworks.com.ar,False,Lunes a Sábado de 9.30 a 19.30,Juan B Justo,"5502",,"JUSTO, JUAN B. AV. 5502",Villa Santa Rita,Comuna 11
"POINT (-58.4709285677327 -34.6157126092404)","102",Bicicletería Works (Artigas),José G. Artigas 1302,4582-8510,wkbicicletas@hotmail.com,www.bicicleteriaworks.com.ar,False,Lunes a Sábado de 9.30 a 19.30,Artigas,"1302",,"ARTIGAS, JOSE GERVASIO, GRAL. 1302",Villa Gral. Mitre,Comuna 11
"POINT (-58.4905354905035 -34.6022843569202)","103",Bicicletería Works (Nogoyá),Nogoyá 2998,4504-1771,wkbicicletas@hotmail.com,www.bicicleteriaworks.com.ar,False,Lunes a Sábado de 9.30 a 19.30,Nogoyá,"2998",,NOGOYA 2998,Villa Del Parque,Comuna 11
"POINT (-58.4545587692114 -34.5549597679443)","104",CR Bikes,Monroe 1817,3974-7126,crbikes1@hotmail.com.ar,https://www.facebook.com/CrBikes?fref=ts,False,Lunes a Viernes de 10 a 20/Sábados de 10 a 15,Monroe,"1817",,MONROE 1817,Belgrano,Comuna 13
