long,lat,nombre,calle,altura,piso,telefonos,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.4077336882728,-34.6215070537572,HOSPITAL FRANCES  (PAMI),LA RIOJA,951,,4866-2546,San Cristobal,Comuna 3,1221,C1221ACI
-58.4736847263334,-34.6193123030912,HOSPITAL ISRAELITA- ISRAMED,TERRADA,1164,,,Villa Santa Rita,Comuna 11,1416,C1416ARB
-58.4248693515647,-34.6066236890407,HOSPITAL ITALIANO,GASCON,450,,4959-0200,Almagro,Comuna 5,1181,C1181ACH
-58.4361615488634,-34.5701412182934,HOSPITAL MILITAR CENTRAL,"CAMPOS, LUIS M. AV.",726,,4576-5737 / 5659,Palermo,Comuna 14,1426,C1426BOS
-58.4330239815246,-34.605214741838,HOSPITAL NAVAL DR. PEDRO MALLO,PATRICIAS  ARGENTINAS AV.,351,,4864-7899 / 4863-4080/4864/7899,Caballito,Comuna 6,1405,C1405BWD
-58.4518304367483,-34.5718499078415,INSTITUTO ALEXANDER FLEMING,CRAMER,1180,,6323-2900,Colegiales,Comuna 13,1426,C1426ANZ
-58.4358080982353,-34.6182685422713,INSTITUTO ANTARTIDA,RIVADAVIA AV.,4978,,,Caballito,Comuna 6,1424,C1424CER
-58.4009830594969,-34.5967763326888,INSTITUTO ARGENTINO DE DIAGNOSTICO Y TRATAMIENTO SA,"ALVEAR, MARCELO T. De",2346,,4963-9500,Recoleta,Comuna 2,1122,C1122AAL
-58.4507849363406,-34.554005357205,INSTITUTO CARDIOVASCULAR DE BUENOS AIRES,BLANCO ENCALADA,1543,,4787-7500 / 4105-7500,Belgrano,Comuna 13,1428,C1428DCO
-58.4145049370503,-34.6157212535974,INSTITUTO DUPUYTREN DE TRAUMATOLOGIA Y ORTOPEDIA,BELGRANO AV.,3402,,4860 7500,Almagro,Comuna 5,1210,C1210AAP
-58.45743645799,-34.6128297812128,POLICLINICA BANCARIA 9 DE JULIO,GAONA AV.,2197,,,Caballito,Comuna 6,1416,C1416DRJ
-58.3945286147342,-34.5853999138081,SANATORIO AGOTE,"AGOTE, LUIS Dr.",2479,,5239-6700,Recoleta,Comuna 2,1425,C1425EOE
-58.4509010882876,-34.5769987752721,SANATORIO COLEGIALES,CONDE,851,,4556-4800,Colegiales,Comuna 13,1426,C1426AYQ
-58.4240417292528,-34.5751241348084,SANATORIO DE LA TRINIDAD,CERVIÑO AV.,4720,,4127-5500 / 4127-5555,Palermo,Comuna 14,1425,C1425AIN
-58.4293115257234,-34.5809679428827,SANATORIO DE LOS ARCOS,"JUSTO, JUAN B. AV.",909,,4778-4500,Palermo,Comuna 14,1425,C1425FSD
-58.4142080022663,-34.5976878937242,SANATORIO DEL VALLE,CORDOBA AV.,3371,,,Recoleta,Comuna 2,1187,C1187AAH
-58.4222140731801,-34.5974987828694,SANATORIO GUEMES,CORDOBA AV.,3933,,4959-8200,Palermo,Comuna 14,1188,C1188AAF
-58.4042317004533,-34.5779514751144,SANATORIO MATER DEI,SAN MARTIN DE TOURS,2952,,4809-5555,Palermo,Comuna 14,1425,C1425DND
-58.4027131737731,-34.6084373447531,SANATORIO MITRE,"MITRE, BARTOLOME",2553,,4954-7070 / 5371-3200,Balvanera,Comuna 3,1039,C1039AAO
-58.4010746120733,-34.5984282843825,SANATORIO OTAMENDI Y MIROLI,AZCUENAGA,870,,4963-8888 / 4961-0305,Recoleta,Comuna 2,1115,C1115AAB
-58.4102357205453,-34.5915338297029,SANATORIO SAN JOSE,SANCHEZ DE BUSTAMANTE,1674,,4821-1001,Recoleta,Comuna 2,1425,C1425DUH
-58.4668347587071,-34.6295104777912,SANATORIO SAN PATRICIO,CONDARCO,33,,,Flores,Comuna 7,1406,C1406AEA
-58.428389530544,-34.6042441186449,CENTRO MEDICO DR. CALABRESE,SARMIENTO AV.,4470,,,Palermo,Comuna 14,1425,C1425FHS
-58.3903099532521,-34.6205785728087,CLINICA BASILEA,SOLIS,1025,,4304-0264,Constitucion,Comuna 1,1078,C1078AAU
-58.4076442734799,-34.5872989266475,CLINICA BAZTERRICA,JUNCAL,3002,,4821-1600 4825-4758 / 4806-5911,Recoleta,Comuna 2,1425,C1425AYN
-58.432780926532,-34.6043694370666,CLINICA DE LA CIUDAD,"MACHADO, ANTONIO",66,,,Caballito,Comuna 6,1405,C1405DHB
-58.3972368206396,-34.596845963284,DIAGNOSTICO MEDICO,JUNIN,1023,,4821 - 6900 / 9800 / 4827 - 6300,Recoleta,Comuna 2,1113,C1113AAE
-58.390944953502,-34.6139942306788,FUNDACION FAVALORO,BELGRANO AV.,1746,,4378-1200 / 1300 / 1400,Monserrat,Comuna 1,1093,C1093AAS
-58.3878887769155,-34.6345585079131,HOSPITAL BRITANICO DE BUENOS AIRES,PERDRIEL,74,,4309 - 6400,Barracas,Comuna 4,1280,C1280AEB
-58.4096200411173,-34.5950706283301,INSTITUTO ONCOLOGICO HENRY MOORE,AGUERO,1248,,4963-4040,Recoleta,Comuna 2,1425,C1425EHD
-58.4017881575943,-34.5938459988272,CLINICA Y MATERNIDAD SUIZO ARGENTINA,PUEYRREDON AV.,1461,,5239-6000,Recoleta,Comuna 2,1118,C1118AAE
-58.4015659760694,-34.592078584159,HOSPITAL ALEMAN,PUEYRREDON AV.,1640,,4827-7000,Recoleta,Comuna 2,1118,C1118AAT
-58.4216592996754,-34.5890080330916,CLINICA PSIQUIATRICA VILLA GUADALUPE,SCALABRINI ORTIZ,1963,,,Palermo,Comuna 14,1425,C1425DBA
-58.3989077883883,-34.6070610661315,INSTITUTO MEDICO DE OBSTETRICIA,PERON JUAN DOMINGO,2275,,4951-5842 / 7318 / 4952-2101 / 2325,Balvanera,Comuna 3,1040,C1040AAI
-58.4003468428571,-34.5893300845529,SANATORIO ANCHORENA S.A.,"ANCHORENA, TOMAS MANUEL DE,",1872,,4808-5400 / 4808-5500,Recoleta,Comuna 2,1425,C1425ELP
-58.4305254244608,-34.6195042295687,CLINICA GERIATRICA GUAYAQUIL,GUAYAQUIL,143,,4902-1557,Caballito,Comuna 6,1424,C1424CAC
-58.40356356626,-34.6158350932667,CLINICA SANTA CATALINA,VENEZUELA,2592,,4308-1666,Balvanera,Comuna 3,1096,C1096ABT
-58.3875652453533,-34.5900665526056,CRUZ AZUL ASISTENCIA MEDICA,QUINTANA AV,281,,,Recoleta,Comuna 2,1014,C1014ACC
-58.4725191907387,-34.5846753259586,INSTITUTO DE INVESTIGACIONES MEDICAS A. LANARI,COMBATIENTE DE MALVINAS,3150,,4514-8701 / 04,Parque Chas,Comuna 15,1427,C1427ARO
-58.4159152373755,-34.5913195038463,ALPI - Sede Paraguay - Unidad de mano,PARAGUAY,3690,,4821-5315 / 5445,Palermo,Comuna 14,1425,C1425BRX
-58.4163598358062,-34.6008123906686,ALPI - Sede Mario Bravo - Unidad pediatría y terapias manuales,BRAVO MARIO,776,,4864-0446,Almagro,Comuna 5,1175,C1175ABN
-58.4766168771927,-34.5441689815929,FUNDACIÓN HOSPITALARIA,CRÁMER,4601,,4704-2300 al 2399,Saavedra,Comuna 12,1429,C1429AKK
-58.3975005060206,-34.5954215910939,INSTITUTO FERRERO DE NEUROLOGÍA Y SUEÑO,JUNIN,1120,,4823-7300,Recoleta,Comuna 2,1113,C1113AAH
